model,quantity,manufacturer,equipment_type,venue,raw_text
AV department has a range of playback options and switchers. SOH vision equipment is shared between all venues and its use in the CH is subject to availability and will incur additional charges. Equipment Model Switchers Barco Image Pro Blackmagic Design ATEM,2.0,,lighting,SOHVenueTechnicalSpecifications ConcertHall202401," AV department has a range of playback options and switchers. SOH vision 
equipment is shared between all venues and its use in the CH is subject to availability 
and will incur additional charges. 
Equipment Model 
Switchers Barco Image Pro 
Blackmagic Design ATEM 2 M"
Production Information for the Concert HallContents 1 Introduction 3 1.1 List of Acronyms 3 2 Risk Management 4 3 Venue Access 5 3.1 Getting to Stage Level 5 3.2 Anteroom to Stage 6 4 Venue Dimensions 7 4.1 Plan Dimensions 7 4.2 Section Dimensions 8 4.3 Stage Surface 9 4.4 Stage Plans 9 4.5 Auditorium Seating 9 5 Staging 11 5.1 Stage Machinery 11 5.2 Acoustic Systems 13 5.3 Standard Venue Configuration 15 5.4 Standard Staging Equipment 16 5.5 Additional Staging Equipment 16 6 Lighting 18 6.1 Base Lighting Equipment 18 6.2 Additional Lighting Equipment 20 7,2.0,Technical and,lighting,SOHVenueTechnicalSpecifications ConcertHall202401,"Technical and Production Information for the Concert HallContents 
1 Introduction 3
1.1 List of Acronyms 3
2 Risk Management 4
3 Venue Access 5
3.1 Getting to Stage Level 5
3.2 Anteroom to Stage 6
4 Venue Dimensions 7
4.1 Plan Dimensions 7
4.2 Section Dimensions 8
4.3 Stage Surface 9
4.4 Stage Plans 9
4.5 Auditorium Seating 9
5 Staging 11
5.1 Stage Machinery 11
5.2 Acoustic Systems 13
5.3 Standard Venue Configuration 15
5.4 Standard Staging Equipment 16
5.5 Additional Staging Equipment 16
6 Lighting 18
6.1 Base Lighting Equipment 18
6.2 Additional Lighting Equipment 20
7 2 Sound "
Stairs Two up-stage automated stairs form part of the up-stage lift and provide access to the choir stalls. If access to the choir stalls is not,3.0,Stage,lighting,SOHVenueTechnicalSpecifications ConcertHall202401,"Stage Stairs 
Two up-stage automated stairs form part of the up-stage lift and provide access to the 
choir stalls. If access to the choir stalls is not 3 required"
Production Information for the Concert Hall6 Lighting 6.1 Base Lighting Equipment In addition to venue hire,18.0,Technical and,lighting,SOHVenueTechnicalSpecifications ConcertHall202401,"Technical and Production Information for the Concert Hall6 Lighting 
6.1 Base Lighting Equipment 
In addition to venue hire 18 charges"
Stage lighting is controlled by an ETC Gio console (located in the control room) with an ETC,1.0,Control,lighting,SOHVenueTechnicalSpecifications ConcertHall202401,"Control 
Stage lighting is controlled by an ETC Gio console (located in the control room) with an 
ETC 1 Gio"
The CH has over 618 channels of 3kw,4.0,Dimmers,lighting,SOHVenueTechnicalSpecifications ConcertHall202401,"Dimmers  
The CH has over 618 channels of 3kw 4 dimming "
channels available for temporary event overlay including 146 channels on-stage level and 216 channels located within the lighting cable reelers. Page 19 Technical and Production Information for the Concert Hall6.1.5 Lighting Pods There are,350.0,Page,lighting,SOHVenueTechnicalSpecifications ConcertHall202401,"channels available for temporary event overlay including 146 
channels on-stage level and 216 channels located within the lighting cable reelers. 

Page 19     Technical and Production Information for the Concert Hall6.1.5 Lighting Pods 
There are 350 sixteen"
Lighting Positions There are several fixed lighting positions throughout the venue that can be used for performances as required. Some of these positions have a fixed focus (typically for orchestral lighting) while other positions can be adjusted to suit the needs of a particular event. The table below provides a detailed overview of the lighting,7.0,Fixed,lighting,SOHVenueTechnicalSpecifications ConcertHall202401,"Fixed Lighting Positions 
There are several fixed lighting positions throughout the venue that can be used for 
performances as required. Some of these positions have a fixed focus (typically for 
orchestral lighting) while other positions can be adjusted to suit the needs of a particular 
event. The table below provides a detailed overview of the lighting 7 positions"
Juliat ZEP2 661SX profile spots Orchestra front lighting FOH Bridge 3 Robert Juliat ZEP2 661SX profile spots Orchestra front lighting FOH Bridge 4 Robert Juliat ZEP2 661SX profile spots Orchestra front lighting Back Spots ETC Source4 LED Series 3 10 variable focus per side Cannon Ports MAC Encore Performance WRM 4 per side Lighting Pods ETC Pro Eight-Cell Fixed focus Lighting Pods SolaFrame Studio 1 per pod Crown Lighting LDOH005 INCAND AIR RGBAW Followspot Booth Robert Juliat Arthur LT LED Followspot 2 per side Organ Lighting LED strip Fixed focus 6.1.8 House Lights The house lights are RGBAW LED fixtures which can emulate,2.0,Robert,lighting,SOHVenueTechnicalSpecifications ConcertHall202401,"Robert Juliat ZEP2 661SX profile spots Orchestra front lighting 
FOH Bridge 3 Robert Juliat ZEP2 661SX profile spots Orchestra front lighting  
FOH Bridge 4 Robert Juliat ZEP2 661SX profile spots Orchestra front lighting  
Back Spots ETC Source4 LED Series 3 10 variable focus per side 
Cannon Ports MAC Encore Performance WRM  4 per side  
Lighting Pods ETC Pro Eight-Cell Fixed focus 
Lighting Pods SolaFrame Studio 1 per pod 
Crown Lighting LDOH005 INCAND AIR RGBAW 
Followspot Booth Robert Juliat Arthur LT LED Followspot 2 per side 
Organ Lighting LED strip Fixed focus 
6.1.8 House Lights 
The house lights are RGBAW LED fixtures which can emulate 2 tungsten"
Lights The crown lights are RGBAW LED fixtures which can emulate tungsten but also provide the ability to change colour. Due to the reflectors and lighting pods permanently hung in the venue these lights do not provide lighting for the stage platform and serve as architectural lighting elements that match the existing house lights. Page 20 Technical and Production Information for the Concert Hall6.2 Additional Lighting Equipment The following equipment is dedicated to the venue and can be utilised by your production at an additional,9.0,Crown,lighting,SOHVenueTechnicalSpecifications ConcertHall202401,"Crown Lights 
The crown lights are RGBAW LED fixtures which can emulate tungsten but also provide 
the ability to change colour. Due to the reflectors and lighting pods permanently hung in 
the venue these lights do not provide lighting for the stage platform and serve as 
architectural lighting elements that match the existing house lights.  

Page 20     Technical and Production Information for the Concert Hall6.2 Additional Lighting Equipment 
The following equipment is dedicated to the venue and can be utilised by your production 
at an additional 9 cost"
Mac Viper Profile 10 Martin Quantum Profile 18 Martin Quantum Wash 18 Martin Mac 101 CW 8 Additional lamp and effects stock are available upon request 6.2.1 Followspots Four Robert Juliat Arthur LT 800W LED followspots with manual colour changers are permanently located above the dress circle in a dedicated followspot room. The angle to the down-stage edge of the stage is approximately,8.0,Martin,lighting,SOHVenueTechnicalSpecifications ConcertHall202401,"Martin Mac Viper Profile 10 
 Martin Quantum Profile 18 
 Martin Quantum Wash 18 
 Martin Mac 101 CW 8 
Additional lamp and effects stock are available upon request 
6.2.1 Followspots 
Four Robert Juliat Arthur LT  800W LED followspots with manual colour changers are 
permanently located above the dress circle in a dedicated followspot room.  
The angle to the down-stage edge of the stage is approximately 8 30"
Stand Lights 24V LED sconce lights are available to fit music stands at an additional cost. 6.2.3 Smoke and fog machines Two Unique haze machines are permanently installed in the up-stage cannon port,2.0,Music,lighting,SOHVenueTechnicalSpecifications ConcertHall202401,"Music Stand Lights 
24V LED sconce lights are available to fit music stands at an additional cost. 
6.2.3 Smoke and fog machines 
Two Unique haze machines are permanently installed in the up-stage cannon port  2 positions "
Communications A Riedel Artist wired intercom system operates across all venues. Permanent talkback stations are available in lighting and sound control,3.0,Headset,lighting,SOHVenueTechnicalSpecifications ConcertHall202401,"Headset Communications  
A Riedel Artist wired intercom system operates across all venues. Permanent talkback 
stations are available in lighting and sound control 3 locations"
