model,quantity,manufacturer,equipment_type,venue,raw_text
AV department has a range of playback options and switchers. SOH vision equipment is shared between all venues and its use in the CH is subject to availability and will incur additional charges. Equipment Model Switchers Barco Image Pro Blackmagic Design ATEM,2.0,,lighting,SOHVenueTechnicalSpecifications ConcertHall202401," AV department has a range of playback options and switchers. SOH vision 
equipment is shared between all venues and its use in the CH is subject to availability 
and will incur additional charges. 
Equipment Model 
Switchers Barco Image Pro 
Blackmagic Design ATEM 2 M"
Production Information for the Concert HallContents 1 Introduction 3 1.1 List of Acronyms 3 2 Risk Management 4 3 Venue Access 5 3.1 Getting to Stage Level 5 3.2 Anteroom to Stage 6 4 Venue Dimensions 7 4.1 Plan Dimensions 7 4.2 Section Dimensions 8 4.3 Stage Surface 9 4.4 Stage Plans 9 4.5 Auditorium Seating 9 5 Staging 11 5.1 Stage Machinery 11 5.2 Acoustic Systems 13 5.3 Standard Venue Configuration 15 5.4 Standard Staging Equipment 16 5.5 Additional Staging Equipment 16 6 Lighting 18 6.1 Base Lighting Equipment 18 6.2 Additional Lighting Equipment 20 7,2.0,Technical and,lighting,SOHVenueTechnicalSpecifications ConcertHall202401,"Technical and Production Information for the Concert HallContents 
1 Introduction 3
1.1 List of Acronyms 3
2 Risk Management 4
3 Venue Access 5
3.1 Getting to Stage Level 5
3.2 Anteroom to Stage 6
4 Venue Dimensions 7
4.1 Plan Dimensions 7
4.2 Section Dimensions 8
4.3 Stage Surface 9
4.4 Stage Plans 9
4.5 Auditorium Seating 9
5 Staging 11
5.1 Stage Machinery 11
5.2 Acoustic Systems 13
5.3 Standard Venue Configuration 15
5.4 Standard Staging Equipment 16
5.5 Additional Staging Equipment 16
6 Lighting 18
6.1 Base Lighting Equipment 18
6.2 Additional Lighting Equipment 20
7 2 Sound "
Stairs Two up-stage automated stairs form part of the up-stage lift and provide access to the choir stalls. If access to the choir stalls is not,3.0,Stage,lighting,SOHVenueTechnicalSpecifications ConcertHall202401,"Stage Stairs 
Two up-stage automated stairs form part of the up-stage lift and provide access to the 
choir stalls. If access to the choir stalls is not 3 required"
Production Information for the Concert Hall6 Lighting 6.1 Base Lighting Equipment In addition to venue hire,18.0,Technical and,lighting,SOHVenueTechnicalSpecifications ConcertHall202401,"Technical and Production Information for the Concert Hall6 Lighting 
6.1 Base Lighting Equipment 
In addition to venue hire 18 charges"
Stage lighting is controlled by an ETC Gio console (located in the control room) with an ETC,1.0,Control,lighting,SOHVenueTechnicalSpecifications ConcertHall202401,"Control 
Stage lighting is controlled by an ETC Gio console (located in the control room) with an 
ETC 1 Gio"
The CH has over 618 channels of 3kw,4.0,Dimmers,lighting,SOHVenueTechnicalSpecifications ConcertHall202401,"Dimmers  
The CH has over 618 channels of 3kw 4 dimming "
channels available for temporary event overlay including 146 channels on-stage level and 216 channels located within the lighting cable reelers. Page 19 Technical and Production Information for the Concert Hall6.1.5 Lighting Pods There are,350.0,Page,lighting,SOHVenueTechnicalSpecifications ConcertHall202401,"channels available for temporary event overlay including 146 
channels on-stage level and 216 channels located within the lighting cable reelers. 

Page 19     Technical and Production Information for the Concert Hall6.1.5 Lighting Pods 
There are 350 sixteen"
Lighting Positions There are several fixed lighting positions throughout the venue that can be used for performances as required. Some of these positions have a fixed focus (typically for orchestral lighting) while other positions can be adjusted to suit the needs of a particular event. The table below provides a detailed overview of the lighting,7.0,Fixed,lighting,SOHVenueTechnicalSpecifications ConcertHall202401,"Fixed Lighting Positions 
There are several fixed lighting positions throughout the venue that can be used for 
performances as required. Some of these positions have a fixed focus (typically for 
orchestral lighting) while other positions can be adjusted to suit the needs of a particular 
event. The table below provides a detailed overview of the lighting 7 positions"
Juliat ZEP2 661SX profile spots Orchestra front lighting FOH Bridge 3 Robert Juliat ZEP2 661SX profile spots Orchestra front lighting FOH Bridge 4 Robert Juliat ZEP2 661SX profile spots Orchestra front lighting Back Spots ETC Source4 LED Series 3 10 variable focus per side Cannon Ports MAC Encore Performance WRM 4 per side Lighting Pods ETC Pro Eight-Cell Fixed focus Lighting Pods SolaFrame Studio 1 per pod Crown Lighting LDOH005 INCAND AIR RGBAW Followspot Booth Robert Juliat Arthur LT LED Followspot 2 per side Organ Lighting LED strip Fixed focus 6.1.8 House Lights The house lights are RGBAW LED fixtures which can emulate,2.0,Robert,lighting,SOHVenueTechnicalSpecifications ConcertHall202401,"Robert Juliat ZEP2 661SX profile spots Orchestra front lighting 
FOH Bridge 3 Robert Juliat ZEP2 661SX profile spots Orchestra front lighting  
FOH Bridge 4 Robert Juliat ZEP2 661SX profile spots Orchestra front lighting  
Back Spots ETC Source4 LED Series 3 10 variable focus per side 
Cannon Ports MAC Encore Performance WRM  4 per side  
Lighting Pods ETC Pro Eight-Cell Fixed focus 
Lighting Pods SolaFrame Studio 1 per pod 
Crown Lighting LDOH005 INCAND AIR RGBAW 
Followspot Booth Robert Juliat Arthur LT LED Followspot 2 per side 
Organ Lighting LED strip Fixed focus 
6.1.8 House Lights 
The house lights are RGBAW LED fixtures which can emulate 2 tungsten"
Lights The crown lights are RGBAW LED fixtures which can emulate tungsten but also provide the ability to change colour. Due to the reflectors and lighting pods permanently hung in the venue these lights do not provide lighting for the stage platform and serve as architectural lighting elements that match the existing house lights. Page 20 Technical and Production Information for the Concert Hall6.2 Additional Lighting Equipment The following equipment is dedicated to the venue and can be utilised by your production at an additional,9.0,Crown,lighting,SOHVenueTechnicalSpecifications ConcertHall202401,"Crown Lights 
The crown lights are RGBAW LED fixtures which can emulate tungsten but also provide 
the ability to change colour. Due to the reflectors and lighting pods permanently hung in 
the venue these lights do not provide lighting for the stage platform and serve as 
architectural lighting elements that match the existing house lights.  

Page 20     Technical and Production Information for the Concert Hall6.2 Additional Lighting Equipment 
The following equipment is dedicated to the venue and can be utilised by your production 
at an additional 9 cost"
Mac Viper Profile 10 Martin Quantum Profile 18 Martin Quantum Wash 18 Martin Mac 101 CW 8 Additional lamp and effects stock are available upon request 6.2.1 Followspots Four Robert Juliat Arthur LT 800W LED followspots with manual colour changers are permanently located above the dress circle in a dedicated followspot room. The angle to the down-stage edge of the stage is approximately,8.0,Martin,lighting,SOHVenueTechnicalSpecifications ConcertHall202401,"Martin Mac Viper Profile 10 
 Martin Quantum Profile 18 
 Martin Quantum Wash 18 
 Martin Mac 101 CW 8 
Additional lamp and effects stock are available upon request 
6.2.1 Followspots 
Four Robert Juliat Arthur LT  800W LED followspots with manual colour changers are 
permanently located above the dress circle in a dedicated followspot room.  
The angle to the down-stage edge of the stage is approximately 8 30"
Stand Lights 24V LED sconce lights are available to fit music stands at an additional cost. 6.2.3 Smoke and fog machines Two Unique haze machines are permanently installed in the up-stage cannon port,2.0,Music,lighting,SOHVenueTechnicalSpecifications ConcertHall202401,"Music Stand Lights 
24V LED sconce lights are available to fit music stands at an additional cost. 
6.2.3 Smoke and fog machines 
Two Unique haze machines are permanently installed in the up-stage cannon port  2 positions "
Communications A Riedel Artist wired intercom system operates across all venues. Permanent talkback stations are available in lighting and sound control,3.0,Headset,lighting,SOHVenueTechnicalSpecifications ConcertHall202401,"Headset Communications  
A Riedel Artist wired intercom system operates across all venues. Permanent talkback 
stations are available in lighting and sound control 3 locations"
2 Additional A/V Equipment 22,,Additional,sound,SOHVenueTechnicalSpecifications ConcertHall202401,2 Additional A/V Equipment 22
up for this position is a Yamaha QL1 desk behind Box U,,Yamaha,sound,SOHVenueTechnicalSpecifications ConcertHall202401,up for this position is a Yamaha QL1 desk behind Box U.
Visual 21 7.1 Base Sound Equipment,21.0,Audio,sound,SOHVenueTechnicalSpecifications ConcertHall202401," Audio Visual 21
7.1 Base Sound Equipment 21 7.2 Additional A"
there are three tie-off points at the back row of each box. Page,13.0,,sound,SOHVenueTechnicalSpecifications ConcertHall202401," there are three tie-off points 
at the back row of each box. 

Page 13 Technical and Production Information for the Concert Hall5.2 Acoustic Systems 
The CH has various sound reflecting "
the reflectors are flown out and tilted to provide clearance for the deployment of the acoustic banners and over-head machinery. Page,14.0,,sound,SOHVenueTechnicalSpecifications ConcertHall202401," the 
reflectors are flown out and tilted to provide clearance for the deployment of the acoustic 
banners and over-head machinery. 


Page 14 Technical and Production Information for the Concert Hall5.2.2 Wall Reflectors 
There are twenty-two wall reflectors (eleven on each side of the venue) that are deployed 
from the vertical walls near the ceiling. These reflectors extend from the wall 
approximately 1.4m and provide additional reflection of sound down to the audience.  
5.2.3 Acoustic Banners 
When the CH is in "
Flown audio subs removed Page,16.0,,sound,SOHVenueTechnicalSpecifications ConcertHall202401," Flown audio subs removed 


Page 16 Technical and Production Information for the Concert Hall"
and special effects of any type are not permitted to be installed in or around the organ loft. Oil-based machines are not permitted at any time. Page,21.0,,sound,SOHVenueTechnicalSpecifications ConcertHall202401," and 
special effects of any type are not permitted to be installed in or around the organ loft. 
Oil-based machines are not permitted at any time. 

Page 21 Technical and Production Information for the Concert Hall7 Sound "
8 Individual XLR audio tie lines and,96.0,,sound,SOHVenueTechnicalSpecifications ConcertHall202401," 8 Individual XLR audio tie lines and 96 channels of audio tie lines (via 2x150 
pin LK connectors) 
"
66 DPA 4061 DPA 4080 DPA,6066.0,Fine,sound,SOHVenueTechnicalSpecifications ConcertHall202401,"Fine 66 
DPA 4061 
DPA 4080 
DPA 6066 Radio Microphones "
KSM9 Shure Beta,58.0,Shure,sound,SOHVenueTechnicalSpecifications ConcertHall202401," 
Shure KSM9 
Shure Beta 58 Shure SM58 
Shure In-Ear Monitors Stereo PT10T dual wireless transmitters 
P10R wireless body-pack receivers 
SE425 earpieces 
Wired Microphones SOH have a wide range of microphones from brands such 
as Sennheiser"
Neumann and offers a variety of packages to suit Additional Playback MacBook Pro running QLab Page,24.0,Beyer and,sound,SOHVenueTechnicalSpecifications ConcertHall202401," Beyer and Neumann and 
offers a variety of packages to suit 
Additional Playback MacBook Pro running QLab 

Page 24 Technical and Production Information for the Concert Hall7.2.4 Video Replay 
The Sound "
7.1 Base Sound Equipment 21 7.2 Additional,21.0,,sound,SOHVenueTechnicalSpecifications ConcertHall202401,"7.1 Base Sound Equipment 21
7.2 Additional 21 A"
Production Information for the Concert Hall5.2 Acoustic Systems The CH has various sound,13.0,Technical and,sound,SOHVenueTechnicalSpecifications ConcertHall202401,"Technical and Production Information for the Concert Hall5.2 Acoustic Systems 
The CH has various sound 13 reflecting "
Production Information for the Concert Hall5.2.2 Wall Reflectors There are twenty-two wall reflectors (eleven on each side of the venue) that are deployed from the vertical walls near the ceiling. These reflectors extend from the wall approximately 1.4m and provide additional reflection of sound down to the audience. 5.2.3 Acoustic Banners When the CH is,14.0,Technical and,sound,SOHVenueTechnicalSpecifications ConcertHall202401,"Technical and Production Information for the Concert Hall5.2.2 Wall Reflectors 
There are twenty-two wall reflectors (eleven on each side of the venue) that are deployed 
from the vertical walls near the ceiling. These reflectors extend from the wall 
approximately 1.4m and provide additional reflection of sound down to the audience.  
5.2.3 Acoustic Banners 
When the CH is 14 in "
running as a tracking back-up. Both consoles have 24K channels and use an ETC DMX over Ethernet system for DMX distribution. An ETC Nomad Puck is available for use with,5.0,Both consoles have,sound,SOHVenueTechnicalSpecifications ConcertHall202401,"running as a tracking back-up.  
Both consoles have 24K channels and use an ETC DMX over Ethernet system for DMX 
distribution. 
An ETC Nomad Puck is available for use with 5 Designer"
Production Information for the Concert Hall7,21.0,Technical and,sound,SOHVenueTechnicalSpecifications ConcertHall202401,Technical and Production Information for the Concert Hall7 21 Sound 
Sound Equipment In addition to venue hire,1.0,Base,sound,SOHVenueTechnicalSpecifications ConcertHall202401,"Base Sound Equipment 
In addition to venue hire 1 charges"
System The venue has a,1.0,Loudspeaker,sound,SOHVenueTechnicalSpecifications ConcertHall202401,"Loudspeaker System 
The venue has a 1 D"
XLR audio tie lines and 96 channels of audio tie lines (via 2x150 pin LK connectors),8.0,Individual,sound,SOHVenueTechnicalSpecifications ConcertHall202401,"Individual XLR audio tie lines and 96 channels of audio tie lines (via 2x150 
pin LK connectors) 8 
"
Console - FOH Stalls Permanently installed SSL Live L650 system comprising of,1.0,Mixing,sound,SOHVenueTechnicalSpecifications ConcertHall202401,"Mixing Console - FOH Stalls 
Permanently installed SSL Live L650 system comprising of  1 
"
microphone preamplifiers,144.0,,sound,SOHVenueTechnicalSpecifications ConcertHall202401,"microphone preamplifiers 144 
"
seats must be removed from the stalls in rows W and X. 7.2.2 Mixing Console - Box,14.0,W and,sound,SOHVenueTechnicalSpecifications ConcertHall202401,"seats must be removed from the stalls 
in rows W and X. 
7.2.2 Mixing Console - Box 14 A "
desk behind Box U. 7.2.3 Monitor Console An SSL Live L650 console is available in a rolling case to be setup side of stage,1.0,Box,sound,SOHVenueTechnicalSpecifications ConcertHall202401,"desk behind Box U.  
7.2.3 Monitor Console 
An SSL Live L650 console is available in a rolling case to be setup side of stage. 1 I"
SSL,650.0,Console,sound,SOHVenueTechnicalSpecifications ConcertHall202401,"Console 
SSL 650 L350"
Stage Monitors,1.0,Console,sound,SOHVenueTechnicalSpecifications ConcertHall202401,"Console 
Stage Monitors  1 D"
Radio,8.0,,sound,SOHVenueTechnicalSpecifications ConcertHall202401,Radio 8 Microphones 
4061 DPA 4080 DPA 6066 Radio,66.0,DPA,sound,SOHVenueTechnicalSpecifications ConcertHall202401,"DPA 4061 
DPA 4080 
DPA 6066 
Radio 66 Microphones "
Beta 58 Shure SM58 Shure In-Ear Monitors Stereo PT10T dual wireless transmitters P10R wireless body-pack receivers SE425 earpieces Wired Microphones SOH have a wide range of microphones from brands such as,9.0,Shure,sound,SOHVenueTechnicalSpecifications ConcertHall202401,"Shure Beta 58 
Shure SM58 
Shure In-Ear Monitors Stereo PT10T dual wireless transmitters 
P10R wireless body-pack receivers 
SE425 earpieces 
Wired Microphones SOH have a wide range of microphones from brands such 
as 9 Sennheiser"
Production Information for the Concert Hall7.2.4 Video Replay The,24.0,Technical and,sound,SOHVenueTechnicalSpecifications ConcertHall202401,"Technical and Production Information for the Concert Hall7.2.4 Video Replay 
The 24 Sound "
5 Additional Staging Equipment,,Additional Staging,video,SOHVenueTechnicalSpecifications ConcertHall202401,5 Additional Staging Equipment
4m (20ft x,,,video,SOHVenueTechnicalSpecifications ConcertHall202401,4m (20ft x
3ft) 16,9.0,,video,SOHVenueTechnicalSpecifications ConcertHall202401,3ft) 16:9 ratio FastFold
stage view in order to facilitate exits / entrances,,,video,SOHVenueTechnicalSpecifications ConcertHall202401,stage view in order to facilitate exits / entrances.
to be discussed with Event Operations prior to on-sale. Page 10 Technical and Production Information for the Concert Hall Page 11 Technical and Production Information for the Concert Hall5 Staging 5.1 Stage Machinery The Concert Hall is equipped with a sophisticated theatre machinery system with over 350 axes of control. The control of all machinery is achieved via a number of touch screen desks and handheld devices with multiple connections points (including wireless) available throughout the venue. The control system may only be operated by SOH staff. Machinery Type Quantity Details Stage Lift 25 Arranged in a semi-circular formation Up-stage Stairs 2 Provide access to choir stalls from up-stage lift Mid-stage Stairs 2 Deploy automatically when required Stage Extension,3.0,,video,SOHVenueTechnicalSpecifications ConcertHall202401," to be discussed with Event Operations prior to on-sale. 

Page 10     Technical and Production Information for the Concert Hall


Page 11     Technical and Production Information for the Concert Hall5 Staging 
5.1 Stage Machinery 
The Concert Hall is equipped with a sophisticated theatre machinery system with over 
350 axes of control. The control of all machinery is achieved via a number of touch 
screen desks and handheld devices with multiple connections points (including wireless) 
available throughout the venue. 
The control system may only be operated by SOH staff. 
Machinery Type Quantity Details 
Stage Lift 25 Arranged in a semi-circular formation 
Up-stage Stairs 2 Provide access to choir stalls from up-stage lift 
Mid-stage Stairs 2 Deploy automatically when required 
Stage Extension 3 Can be lowered to reveal stalls rows A "
Equipment Allocation Details General Furniture Card Table 3 830 x 830mm Square Top Trestle Table 2 1800 x 750 Top Vinyl Chair 10 Black Screen 4 Wardrobe Wardrobe Rack (large) 7 Wardrobe Rack (small) 7 Desk Unit,2.0,Element,video,SOHVenueTechnicalSpecifications ConcertHall202401," 
Element Equipment Allocation Details 
General 
Furniture Card Table 3 830 x 830mm Square Top 
Trestle Table 2 1800 x 750 Top 
Vinyl Chair 10 
Black Screen 4 
Wardrobe Wardrobe Rack (large) 7 
Wardrobe Rack (small) 7 
Desk Unit 2 Portable with mirror"
Production Information for the Concert Hall Page 11 Technical and Production Information for the Concert Hall5 Staging 5.1 Stage Machinery The Concert Hall is equipped with a sophisticated theatre machinery system with over 350 axes of control. The control of all machinery is achieved via a number of touch screen desks and handheld devices with multiple connections points (including wireless) available throughout the venue. The control system may only be operated by SOH staff. Machinery Type Quantity Details Stage Lift 25 Arranged in a semi-circular formation Up-stage Stairs 2 Provide access to choir stalls from up-stage lift Mid-stage Stairs 2 Deploy automatically when required Stage Extension 3 Can be lowered to reveal stalls rows,10.0,Technical and,video,SOHVenueTechnicalSpecifications ConcertHall202401,"Technical and Production Information for the Concert Hall


Page 11     Technical and Production Information for the Concert Hall5 Staging 
5.1 Stage Machinery 
The Concert Hall is equipped with a sophisticated theatre machinery system with over 
350 axes of control. The control of all machinery is achieved via a number of touch 
screen desks and handheld devices with multiple connections points (including wireless) 
available throughout the venue. 
The control system may only be operated by SOH staff. 
Machinery Type Quantity Details 
Stage Lift 25 Arranged in a semi-circular formation 
Up-stage Stairs 2 Provide access to choir stalls from up-stage lift 
Mid-stage Stairs 2 Deploy automatically when required 
Stage Extension 3 Can be lowered to reveal stalls rows 10 A "
830 x 830mm Square Top Trestle Table 2 1800 x 750 Top Vinyl Chair 10 Black Screen 4 Wardrobe Wardrobe Rack (large) 7 Wardrobe Rack (small) 7 Desk Unit 2 Portable with,3.0,,video,SOHVenueTechnicalSpecifications ConcertHall202401,"830 x 830mm Square Top 
Trestle Table 2 1800 x 750 Top 
Vinyl Chair 10 
Black Screen 4 
Wardrobe Wardrobe Rack (large) 7 
Wardrobe Rack (small) 7 
Desk Unit 2 Portable with 3 mirror"
Video Monitors There are several options available for projector placement within the,5.0,Projection and,video,SOHVenueTechnicalSpecifications ConcertHall202401,"Projection and Video Monitors 
There are several options available for projector placement within the 5 venue"
ratio FastFold Video Monitors LCD,9.0,,video,SOHVenueTechnicalSpecifications ConcertHall202401,"ratio FastFold 
Video Monitors LCD 9 75"
Show Relay Temporary show relay screens can be deployed around the,4.0,Temporary,video,SOHVenueTechnicalSpecifications ConcertHall202401,"Temporary Show Relay 
Temporary show relay screens can be deployed around the 4 venue"
